shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.1.H","-37.8136143277707","145.087719419419","40","5638.70800283145"
"3-109-mjp-1.1.H","-37.8136143277707","145.087719419419","41","5638.70800283145"
"3-109-mjp-1.1.H","-37.8140928078604","145.091660236546","42","5989.73506731509"
"3-109-mjp-1.1.H","-37.8140928078604","145.091660236546","43","5989.73506731509"
"3-109-mjp-1.1.H","-37.8144582910755","145.094752030682","44","6264.96951283382"
"3-109-mjp-1.1.H","-37.8144582910755","145.094752030682","45","6264.96951283382"
"3-109-mjp-1.1.H","-37.8149997532571","145.099259317091","46","6666.35212331912"
"3-109-mjp-1.1.H","-37.8149997532571","145.099259317091","47","6666.35212331912"
"3-109-mjp-1.1.H","-37.8154668305554","145.103075621752","48","7006.34329967522"
"3-109-mjp-1.1.H","-37.8154668305554","145.103075621752","49","7006.34329967522"
"3-109-mjp-1.1.H","-37.8162270648053","145.109440492633","50","7573.06457155408"
"3-109-mjp-1.1.H","-37.8162270648053","145.109440492633","51","7573.06457155408"
"3-109-mjp-1.1.H","-37.8169467456431","145.115545247532","52","8116.46313614549"
"3-109-mjp-1.1.H","-37.8169467456431","145.115545247532","53","8116.46313614549"
"3-109-mjp-1.1.H","-37.8171440609836","145.117176095238","54","8261.71119981589"
"3-109-mjp-1.1.H","-37.8173238178904","145.118273467969","55","8360.3671677043"
"3-109-mjp-1.1.H","-37.8175012660422","145.119791233539","56","8495.44122146741"
"3-109-mjp-1.1.H","-37.8175012660422","145.119791233539","57","8495.44122146741"
"3-109-mjp-1.1.H","-37.8176301577839","145.120526379882","58","8561.72847514412"
"3-109-mjp-1.1.H","-37.8178659733766","145.122315325513","59","8721.39375001627"
"3-109-mjp-1.2.H","-37.8407538284193","144.932837039405","1","0"
"3-109-mjp-1.2.H","-37.8404333561637","144.933061892793","2","40.7062648740952"
"3-109-mjp-1.2.H","-37.8397319510711","144.933661004429","3","134.738174351676"
"3-109-mjp-1.2.H","-37.8392006842022","144.934198541197","4","210.34240703742"
"3-109-mjp-1.2.H","-37.8387767049102","144.934687624684","5","274.123281913827"
"3-109-mjp-1.2.H","-37.838151730891","144.935534563612","6","375.956478858635"
"3-109-mjp-1.2.H","-37.837100321622","144.937245593","7","566.492564679668"
"3-109-mjp-1.2.H","-37.837100321622","144.937245593","8","566.492564679668"
"3-109-mjp-1.2.H","-37.8332628102777","144.943510883987","9","1263.34836037918"
"3-109-mjp-1.2.H","-37.8332628102777","144.943510883987","10","1263.34836037918"
"3-109-mjp-1.2.H","-37.8317033179802","144.946065217546","11","1547.11763285243"
"3-109-mjp-1.2.H","-37.8312938386833","144.946871917993","12","1631.43251884536"
"3-109-mjp-1.2.H","-37.8302861036876","144.948513244942","13","1814.15909053103"
"3-109-mjp-1.2.H","-37.8302861036876","144.948513244942","14","1814.15909053103"
"3-109-mjp-1.2.H","-37.8294625557793","144.949865384749","15","1964.24240072907"
"3-109-mjp-1.2.H","-37.8292268704112","144.950303654959","16","2010.8578488123"
"3-109-mjp-1.2.H","-37.8274980037538","144.95400989626","17","2389.38790045946"
"3-109-mjp-1.2.H","-37.8274980037538","144.95400989626","18","2389.38790045946"
"3-109-mjp-1.2.H","-37.8270978690702","144.954838971647","19","2474.82793791263"
"3-109-mjp-1.2.H","-37.826834747548","144.955255246572","20","2521.68943596807"
